BITS,index,Maximum Pixel Error,Peak Signal-to_Noise Ratio
3,10,255,13.598006427897612
3,11,255,10.951273518816551
3,12,255,14.412458999930394
4,10,255,14.051663945384881
4,11,249,14.634988266184102
4,12,255,13.525831164368576
5,10,200,20.32370043626041
5,11,155,22.354010215775265
5,12,229,19.407263480245117
6,10,91,28.159872103979914
6,11,98,27.496646597732962
6,12,93,29.23557136050292
7,10,53,32.77870229255662
7,11,39,37.09878984137624
7,12,84,32.654500509492976
8,10,16,42.6822168370888
8,11,17,42.56993337396983
8,12,13,47.065287020211215
9,10,8,50.76968548527325
9,11,7,49.98975523417636
9,12,6,51.955130625734746
10,10,5,54.08543347142643
10,11,5,52.556099880280584
10,12,4,53.76982650203158
