L1D,L1I,L2,Unrolling,Cycles,totalMemoryKB
2,2,128,8,59725456,132
2,4,128,16,59608257,134
2,8,128,32,59447087,138
4,4,128,16,59477547,136
4,8,128,32,59287222,140
8,8,128,32,59249179,144
16,2,128,8,42547387,146
16,4,128,16,42480342,148
16,8,128,32,42348777,152
32,2,128,8,42278590,162
32,4,128,16,42176201,164
32,8,128,32,41936302,168
32,16,128,32,41922370,176
32,16,256,32,41915840,304
32,32,128,32,41915945,192
32,32,256,32,41910851,320
32,64,512,32,41901786,608
64,32,256,32,41906326,352
64,64,256,32,41904339,384
